source,State,District,Rivers / Streams,start_date
news_reports,Tamil Nadu,"Chennai, Ariyalur, Karur, Thanjavur, Tiruchirappalli, Vellore",N/A,2024-06-27 18:30:00+00
news_reports,Telangana,Kamareddy,N/A,2024-07-05 18:30:00+00
news_reports,Kerala,"Kannur, Thiruvananthapuram",Pamba,2020-03-03 18:30:00+00
news_reports,Andhra Pradesh,Srikakulam,"Vamsa, Nagavali",2019-04-19 18:30:00+00
news_reports,"Tamil Nadu, Kerala","Karur, Erode","Kaveri, Harangi, Lakshmana Tirtha",2016-10-13 18:30:00+00
news_reports,Tamil Nadu,Chennai,Cooum/Koovam,2021-09-07 18:30:00+00
news_reports,"Uttar Pradesh, NCT of Delhi",Gautam Buddha Nagar,Yamuna,2013-08-10 18:30:00+00
news_reports,Andhra Pradesh,East Godavari,Godavari,2024-12-10 18:30:00+00
news_reports,Gujarat,Banas Kantha,Banas,2024-09-12 18:30:00+00
news_reports,Gujarat,Vadodara,"Mahi, Orsang",2024-12-19 18:30:00+00
news_reports,Gujarat,Vadodara,Mahi,2025-01-10 18:30:00+00
news_reports,Uttar Pradesh,Banda,Chandrawal,2024-11-30 18:30:00+00
news_reports,West Bengal,Darjeeling,Mahananda,2025-01-15 18:30:00+00
news_reports,West Bengal,"Birbhum, Paschim Medinipur, Purulia, Bankura, Murshidabad, Purba Medinipur, Jalpaiguri, Uttar Dinajpur, Dakshin Dinajpur, Kolkata, Nadia, Cooch Behar, South 24 Parganas, North 24 Parganas, Darjeeling, Kalimpong, Alipurduar, Jhargram, Paschim Bardhaman, Purba Bardhaman, Malda, Howrah/Haora, Hugli / Hooghly","Mayurakshi, Ajay, Damodar, Silabati, Subarnarekha, Mahananda, Kangsabati",2024-12-31 18:30:00+00
